team_id,h_1b,h_2b,h_3b,h_hr,h_bb,h_ubb,h_ab,h_pa,h_k,h_runs,h_rbi,h_sf,h_hbp,avg,obp,slg,ops,k_rate,bb_rate,babip,woba
1,39,9,0,8,28,27,203,234,58,26,25,1,2,0.27586206896551724,0.3620689655172414,0.43842364532019706,0.8004926108374384,0.24786324786324787,0.11965811965811966,0.34782608695652173,0.3563819742489271
2,27,7,0,12,22,21,190,213,49,33,31,1,0,0.24210526315789474,0.3192488262910798,0.46842105263157896,0.7876698789226588,0.2300469483568075,0.10328638497652583,0.26153846153846155,0.34082547169811317
4,25,13,0,9,21,21,235,262,77,31,28,2,3,0.2,0.26356589147286824,0.3702127659574468,0.633778657430315,0.29389312977099236,0.08015267175572519,0.25165562913907286,0.284
5,26,8,0,6,25,24,184,215,30,28,26,2,2,0.21739130434782608,0.3080568720379147,0.358695652173913,0.6667525242118277,0.13953488372093023,0.11627906976744186,0.22666666666666666,0.30168867924528303
6,27,10,1,5,22,22,213,242,51,25,21,3,4,0.20187793427230047,0.27310924369747897,0.3286384976525822,0.6017477413500611,0.21074380165289255,0.09090909090909091,0.2375,0.2768264462809917
7,30,7,0,6,16,14,195,217,38,23,30,4,2,0.2205128205128205,0.2744186046511628,0.3487179487179487,0.6231365533691116,0.17511520737327188,0.07373271889400922,0.23870967741935484,0.27549302325581393
8,24,8,0,9,23,23,191,219,48,23,29,1,4,0.21465968586387435,0.29767441860465116,0.39790575916230364,0.6955801777669548,0.2191780821917808,0.1050228310502283,0.23703703703703705,0.31532876712328767
9,31,5,0,8,15,15,202,225,61,27,20,6,2,0.21782178217821782,0.2645739910313901,0.3613861386138614,0.6259601296452515,0.27111111111111114,0.06666666666666667,0.2589928057553957,0.2772666666666667
11,32,8,0,8,22,21,168,192,48,21,24,2,0,0.2857142857142857,0.3645833333333333,0.47619047619047616,0.8407738095238095,0.25,0.11458333333333333,0.3508771929824561,0.36557068062827225
12,30,17,0,12,30,27,217,250,50,36,27,0,3,0.271889400921659,0.3603238866396761,0.5161290322580645,0.8764529188977406,0.2,0.12,0.3032258064516129,0.3805384615384615
13,28,10,2,13,27,25,209,243,44,35,43,3,4,0.2535885167464115,0.33472803347280333,0.507177033492823,0.8419050669656263,0.18106995884773663,0.1111111111111111,0.25806451612903225,0.36481742738589207
14,24,8,1,14,25,23,181,211,43,34,31,1,4,0.2596685082872928,0.34782608695652173,0.5469613259668509,0.8947874129233726,0.2037914691943128,0.11848341232227488,0.264,0.3868755980861244
